"date_time","Dry.Bulb.Temperature...C.","Relative.Humidity....","Wind.Speed..m.s.","Wind.Direction..Deg.","Global.Horizontal.Radiation..W.m2.","Direct.Normal.Radiation..W.m2.","Diffuse.Horizontal.Radiation..W.m2.","county_code"
2018-07-01,23.3,93.54,0,120,0,0,0,"G4500910"
2018-07-01 01:00:00,23.3,93.54,0,100,0,0,0,"G4500910"
2018-07-01 02:00:00,22.8,96.42,0,50,0,0,0,"G4500910"
2018-07-01 03:00:00,22.2,100,0,0,0,0,0,"G4500910"
2018-07-01 04:00:00,22.4,96.99,0,0,0,0,0,"G4500910"
2018-07-01 05:00:00,22.2,96.99,0,0,0,0,0,"G4500910"
2018-07-01 06:00:00,22.2,100,0,0,6,26.5,5.5,"G4500910"
2018-07-01 07:00:00,23.9,96.45,0,33.33,106,317,49.5,"G4500910"
2018-07-01 08:00:00,26.1,82.07,0,0,292.5,583,79.5,"G4500910"
2018-07-01 09:00:00,27.4,74.26,0.75,120,490.5,715,96.5,"G4500910"
2018-07-01 10:00:00,27.8,71.6,1.5,0,650.5,717,135,"G4500910"
2018-07-01 11:00:00,28.3,69.55,2.77,85,779,742.5,152,"G4500910"
2018-07-01 12:00:00,29.4,63.29,2.6,80,891.5,790.5,151,"G4500910"
2018-07-01 13:00:00,29.4,65.25,2.1,120,888.5,679.5,224.5,"G4500910"
2018-07-01 14:00:00,31.1,59.19,3.1,100,746.5,461,302,"G4500910"
2018-07-01 15:00:00,30,65.38,2.6,100,788,642.5,209,"G4500910"
2018-07-01 16:00:00,28.87,74.35,4.3,90,423,153.5,299.5,"G4500910"
2018-07-01 17:00:00,27.2,82.2,1.5,330,249,63.5,208.5,"G4500910"
2018-07-01 18:00:00,24.12,96.45,2.98,313.33,129.5,17.5,120.5,"G4500910"
2018-07-01 19:00:00,25,93.62,1.5,360,42.5,4,41.5,"G4500910"
2018-07-01 20:00:00,25.33,87,0,120,8.5,5,8.5,"G4500910"
2018-07-01 21:00:00,23.9,96.45,0,0,0,0,0,"G4500910"
2018-07-01 22:00:00,23.9,96.45,0,13.33,0,0,0,"G4500910"
2018-07-01 23:00:00,23.3,100,0,0,0,0,0,"G4500910"
2018-07-02,23.9,96.45,1.5,190,0,0,0,"G4500910"
2018-07-02 01:00:00,23.3,97.02,0,110,0,0,0,"G4500910"
2018-07-02 02:00:00,22.2,100,0,126.67,0,0,0,"G4500910"
2018-07-02 03:00:00,22.2,100,0,73.33,0,0,0,"G4500910"
2018-07-02 04:00:00,22.87,96.42,0,0,0,0,0,"G4500910"
2018-07-02 05:00:00,22.1,100,0,0,0,0,0,"G4500910"
2018-07-02 06:00:00,22,98.02,0,0,3.5,4.5,3.5,"G4500910"
2018-07-02 07:00:00,23.9,96.45,1.5,90,54.5,19,51.5,"G4500910"
2018-07-02 08:00:00,24.4,97.04,0,0,100.5,5,98.5,"G4500910"
2018-07-02 09:00:00,25.55,84.59,1.1,127.5,217.5,29,201,"G4500910"
